ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None
RIGHT_UP_GRASS_EDGE,Mario,U,None,None,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,Change,BLOCK,SPENT,None
Mario,COIN,R,Add,Coin,None,None
Mario,COIN,R,VelChange,Mario,None,vy
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,Change,BLOCK,SPENT,None
COIN,Mario,L,Add,Coin,None,None
COIN,Mario,L,VelChange,Mario,None,vy
Mario,BLOCK,U,Delete,Coin,None,None
Mario,BLOCK,U,Change,BLOCK,SPENT,None
Mario,BLOCK,U,Add,Coin,None,None
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,Delete,Coin,None,None
BLOCK,Mario,D,Change,BLOCK,SPENT,None
BLOCK,Mario,D,Add,Coin,None,None
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,QBLOCK,U,Change,QBLOCK,SPENT,None
Mario,QBLOCK,U,Add,Coin,None,None
Mario,QBLOCK,U,VelChange,Mario,None,vy
QBLOCK,Mario,D,Change,QBLOCK,SPENT,None
QBLOCK,Mario,D,Add,Coin,None,None
QBLOCK,Mario,D,VelChange,Mario,None,vy
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,QBLOCK,U,Change,QBLOCK,SPENT,None
Mario,QBLOCK,U,Add,Coin,None,None
Mario,QBLOCK,U,VelChange,Mario,None,vy
QBLOCK,Mario,D,Change,QBLOCK,SPENT,None
QBLOCK,Mario,D,Add,Coin,None,None
QBLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None
RIGHT_UP_GRASS_EDGE,Mario,U,None,None,None,None
Mario,COIN,R,Delete,Coin,None,None
COIN,Mario,L,Delete,Coin,None,None
Mario,COIN,R,Delete,Coin,None,None
Mario,COIN,R,VelChange,Mario,None,vy
COIN,Mario,L,Delete,Coin,None,None
COIN,Mario,L,VelChange,Mario,None,vy
Mario,GROUND,D,Delete,Coin,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,Delete,Coin,None,None
GROUND,Mario,U,VelChange,Mario,None,vy
Goomba,HILL_TOP_LEFT,D,VelChange,Goomba,None,vy
Goomba,HILL_TOP_LEFT,D,Delete,Coin,None,None
HILL_TOP_LEFT,Goomba,U,VelChange,Goomba,None,vy
HILL_TOP_LEFT,Goomba,U,Delete,Coin,None,None
Mario,COIN,U,VelChange,Goomba,None,vy
Mario,COIN,U,Delete,Coin,None,None
