ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Mario,RIGHT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy
RIGHT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,D,VelChange,Mario,None,vy
ROCK,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,ROCK,L,VelChange,Mario,None,vx
ROCK,Mario,R,VelChange,Mario,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
Goomba,GROUND,D,VelChange,Mario,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Mario,None,vy
Mario,BLOCK,U,VelChange,Goomba,None,vy
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Goomba,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,GreenKoopa,D,VelChange,Mario,None,vy
Mario,GreenKoopa,D,Delete,GreenKoopa,None,None
GreenKoopa,Mario,U,VelChange,Mario,None,vy
GreenKoopa,Mario,U,Delete,GreenKoopa,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,Goomba,D,VelChange,Mario,None,vy
Mario,Goomba,D,Delete,Goomba,None,None
Goomba,Mario,U,VelChange,Mario,None,vy
Goomba,Mario,U,Delete,Goomba,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,R,VelChange,Mario,None,vx
BLOCK,Mario,L,VelChange,Mario,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,R,VelChange,Mario,None,vx
BLOCK,Mario,L,VelChange,Mario,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,BLOCK,U,VelChange,Mario,None,vy
BLOCK,Mario,D,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
