ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,TUBE_SIDE_LEFT,R,None,None,None,None
TUBE_SIDE_LEFT,Mario,L,None,None,None,None
Mario,TUBE_TOP_LEFT,R,None,None,None,None
TUBE_TOP_LEFT,Mario,L,None,None,None,None
Mario,TUBE_TOP_LEFT,D,None,None,None,None
TUBE_TOP_LEFT,Mario,U,None,None,None,None
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Goomba,GROUND,D,VelChange,Goomba,None,vy
GROUND,Goomba,U,VelChange,Goomba,None,vy
Mario,COIN,D,Delete,Coin,None,None
COIN,Mario,U,Delete,Coin,None,None
Goomba,TUBE_SIDE_RIGHT,L,VelChange,Goomba,None,vx
TUBE_SIDE_RIGHT,Goomba,R,VelChange,Goomba,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Bush,BigMario,L,None,None,None,None
BigMario,Bush,R,None,None,None,None
Goomba,TUBE_SIDE_RIGHT,L,VelChange,Goomba,None,vx
TUBE_SIDE_RIGHT,Goomba,R,VelChange,Goomba,None,vx
Mario,TUBE_TOP_RIGHT,D,VelChange,Mario,None,vy
TUBE_TOP_RIGHT,Mario,U,VelChange,Mario,None,vy
Mario,Goomba,D,VelChange,Mario,None,vy
Mario,Goomba,D,Delete,Goomba,None,None
Goomba,Mario,U,VelChange,Mario,None,vy
Goomba,Mario,U,Delete,Goomba,None,None
GreenKoopa,Goomba,R,None,None,None,None
Goomba,GreenKoopa,L,None,None,None,None
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Goomba,TUBE_SIDE_LEFT,R,VelChange,Goomba,None,vx
TUBE_SIDE_LEFT,Goomba,L,VelChange,Goomba,None,vx
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,TUBE_SIDE_LEFT,R,VelChange,Mario,None,vx
TUBE_SIDE_LEFT,Mario,L,VelChange,Mario,None,vx
Mario,TUBE_TOP_RIGHT,D,None,None,None,None
TUBE_TOP_RIGHT,Mario,U,None,None,None,None
GreenKoopa,BLOCK,D,VelChange,GreenKoopa,None,vy
BLOCK,GreenKoopa,U,VelChange,GreenKoopa,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
Mario,COIN,U,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
Mario,COIN,U,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
COIN,Mario,D,Delete,Coin,None,None
Mario,COIN,L,Delete,Coin,None,None
Mario,COIN,L,VelChange,Mario,None,vy
COIN,Mario,R,Delete,Coin,None,None
COIN,Mario,R,VelChange,Mario,None,vy
Mario,GROUND,D,VelChange,Mario,None,vy
GROUND,Mario,U,VelChange,Mario,None,vy
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy
