ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange,Which
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,TUBE_SIDE_LEFT,R,None,None,None,None,OTHER
TUBE_SIDE_LEFT,Mario,L,None,None,None,None,OTHER
Mario,TUBE_TOP_LEFT,R,None,None,None,None,OTHER
TUBE_TOP_LEFT,Mario,L,None,None,None,None,OTHER
Mario,TUBE_TOP_LEFT,D,None,None,None,None,OTHER
TUBE_TOP_LEFT,Mario,U,None,None,None,None,OTHER
Goomba,GROUND,D,VelChange,Goomba,None,vy,A
GROUND,Goomba,U,VelChange,Goomba,None,vy,B
Goomba,GROUND,D,VelChange,Goomba,None,vy,A
GROUND,Goomba,U,VelChange,Goomba,None,vy,B
Mario,COIN,D,Delete,COIN,None,None,B
COIN,Mario,U,Delete,COIN,None,None,A
Goomba,TUBE_SIDE_RIGHT,L,VelChange,Goomba,None,vx,A
TUBE_SIDE_RIGHT,Goomba,R,VelChange,Goomba,None,vx,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Goomba,TUBE_SIDE_RIGHT,L,VelChange,Goomba,None,vx,A
TUBE_SIDE_RIGHT,Goomba,R,VelChange,Goomba,None,vx,B
Mario,TUBE_TOP_RIGHT,D,VelChange,Mario,None,vy,A
TUBE_TOP_RIGHT,Mario,U,VelChange,Mario,None,vy,B
Mario,Goomba,D,VelChange,Mario,None,vy,A
Mario,Goomba,D,Delete,Goomba,None,None,B
Goomba,Mario,U,VelChange,Mario,None,vy,B
Goomba,Mario,U,Delete,Goomba,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Goomba,TUBE_SIDE_LEFT,R,VelChange,Goomba,None,vx,A
TUBE_SIDE_LEFT,Goomba,L,VelChange,Goomba,None,vx,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,TUBE_SIDE_LEFT,R,VelChange,Mario,None,vx,A
TUBE_SIDE_LEFT,Mario,L,VelChange,Mario,None,vx,B
Mario,TUBE_TOP_RIGHT,D,None,None,None,None,OTHER
TUBE_TOP_RIGHT,Mario,U,None,None,None,None,OTHER
GreenKoopa,BLOCK,D,VelChange,GreenKoopa,None,vy,A
BLOCK,GreenKoopa,U,VelChange,GreenKoopa,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,COIN,U,Delete,COIN,None,None,B
Mario,COIN,U,Delete,COIN,None,None,B
COIN,Mario,D,Delete,COIN,None,None,A
COIN,Mario,D,Delete,COIN,None,None,A
Mario,COIN,U,Delete,COIN,None,None,B
Mario,COIN,U,Delete,COIN,None,None,B
COIN,Mario,D,Delete,COIN,None,None,A
COIN,Mario,D,Delete,COIN,None,None,A
Mario,COIN,L,Delete,COIN,None,None,B
